event_date,entry_date,exit_date,entry,exit,gross_ret,net_ret
2000-04-04,2000-04-05,2000-04-11,1428.5,1624.65,0.13731186559327968,0.13631186559327968
2000-04-13,2000-04-17,2000-04-24,1518.55,1388.0,-0.0859701689111323,-0.0869701689111323
2000-05-02,2000-05-03,2000-05-09,1330.15,1378.55,0.03638687366086524,0.03538687366086524
2000-07-24,2000-07-25,2000-07-31,1317.35,1332.85,0.01176604547007254,0.010766045470072538
2000-09-18,2000-09-19,2000-09-25,1351.8,1292.55,-0.043830448291167334,-0.044830448291167335
2001-02-16,2001-02-19,2001-02-23,1381.4,1320.45,-0.04412190531345017,-0.04512190531345017
2001-03-02,2001-03-05,2001-03-12,1304.85,1197.95,-0.08192512549335162,-0.08292512549335163
2001-03-13,2001-03-14,2001-03-20,1125.15,1170.95,0.04070568368661953,0.03970568368661953
2001-09-12,2001-09-13,2001-09-19,982.2,912.2,-0.07126858073712072,-0.07226858073712072
2001-09-21,2001-09-24,2001-09-28,853.0,913.85,0.0713364595545134,0.0703364595545134
2002-02-28,2002-03-01,2002-03-07,1142.05,1193.05,0.04465653868044317,0.04365653868044317
2002-04-19,2002-04-22,2002-04-26,1100.5,1097.4,-0.0028169014084505895,-0.0038169014084505895
2002-07-22,2002-07-23,2002-07-29,1012.05,971.65,-0.03991897633516128,-0.04091897633516128
2002-10-25,2002-10-28,2002-11-01,932.35,951.45,0.02048586904059646,0.01948586904059646
2002-12-04,2002-12-05,2002-12-11,1036.75,1069.75,0.03183023872679036,0.03083023872679036
2003-01-27,2003-01-28,2003-02-03,1036.35,1055.3,0.018285328315723604,0.017285328315723603
2003-03-24,2003-03-25,2003-03-31,1013.5,978.2,-0.034829797730636325,-0.035829797730636326
2003-04-10,2003-04-11,2003-04-21,958.9,947.2,-0.012201480863489378,-0.013201480863489379
2003-07-21,2003-07-22,2003-07-28,1115.35,1169.2,0.048280808714753265,0.047280808714753264
2003-08-25,2003-08-26,2003-09-01,1270.2,1375.95,0.08325460557392539,0.08225460557392539
2003-09-15,2003-09-16,2003-09-22,1330.15,1302.9,-0.020486411306995467,-0.021486411306995468
2004-01-21,2004-01-22,2004-01-29,1824.7,1843.6,0.01035786704663777,0.009357867046637769
2004-04-27,2004-04-28,2004-05-04,1819.0,1793.1,-0.014238592633315061,-0.015238592633315062
2004-05-11,2004-05-12,2004-05-18,1699.25,1503.95,-0.1149330587023687,-0.1159330587023687
2005-01-05,2005-01-06,2005-01-12,2031.55,1913.6,-0.05805911742265757,-0.05905911742265757
2005-04-15,2005-04-18,2005-04-22,1955.5,1967.35,0.006059831245205816,0.005059831245205816
2005-07-07,2005-07-08,2005-07-14,2183.55,2185.1,0.0007098532206726293,-0.00029014677932737067
2005-08-23,2005-08-24,2005-08-30,2326.1,2367.75,0.017905507071922955,0.016905507071922954
2005-09-22,2005-09-23,2005-09-29,2480.5,2611.2,0.05269098971981445,0.05169098971981445
2005-10-06,2005-10-07,2005-10-14,2577.2,2484.4,-0.03600807077448387,-0.03700807077448387
2006-03-08,2006-03-09,2006-03-16,3116.75,3226.6,0.035245046923878975,0.034245046923878975
2006-04-12,2006-04-13,2006-04-20,3380.4,3573.5,0.05712341734705939,0.05612341734705939
2006-04-25,2006-04-26,2006-05-02,3462.65,3605.45,0.04124009068199208,0.04024009068199208
2006-05-15,2006-05-16,2006-05-22,3502.95,3081.35,-0.12035570019554942,-0.12135570019554942
2006-06-08,2006-06-09,2006-06-15,2721.2,2798.8,0.028516830809936833,0.027516830809936832
2006-12-11,2006-12-12,2006-12-18,3849.1,3928.75,0.020693149047829484,0.019693149047829484
2006-12-19,2006-12-20,2006-12-27,3832.15,3974.25,0.03708101196456304,0.03608101196456304
2007-02-12,2007-02-13,2007-02-20,4069.1,4106.95,0.00930181121132434,0.00830181121132434
2007-02-28,2007-03-01,2007-03-07,3745.4,3626.85,-0.031652159982912376,-0.03265215998291238
2007-03-14,2007-03-15,2007-03-21,3644.9,3764.55,0.032826689346758586,0.031826689346758585
2007-04-02,2007-04-03,2007-04-10,3633.85,3848.15,0.05897326526961777,0.05797326526961777
2007-07-27,2007-07-30,2007-08-03,4442.35,4401.55,-0.009184328114624107,-0.010184328114624108
2007-08-16,2007-08-17,2007-08-23,4171.1,4114.95,-0.013461676775910592,-0.014461676775910592
2007-10-18,2007-10-19,2007-10-25,5360.35,5568.95,0.03891536933222639,0.03791536933222639
2007-11-21,2007-11-22,2007-11-28,5564.65,5617.55,0.009506437961057879,0.008506437961057878
2007-12-17,2007-12-18,2007-12-26,5777.6,6070.75,0.050739061201882985,0.049739061201882984
2008-01-18,2008-01-21,2008-01-25,5705.0,5383.35,-0.056380368098159495,-0.057380368098159495
2008-02-11,2008-02-12,2008-02-18,4877.85,5276.9,0.08180858369978572,0.08080858369978572
2008-06-20,2008-06-23,2008-06-27,4351.15,4136.65,-0.049297312204819366,-0.05029731220481937
2008-07-01,2008-07-02,2008-07-08,3895.3,3988.55,0.023939106102225827,0.022939106102225826
2008-07-15,2008-07-16,2008-07-22,3861.55,4240.1,0.09803058357395344,0.09703058357395344
2008-10-06,2008-10-07,2008-10-14,3606.95,3518.65,-0.02448051678010499,-0.02548051678010499
2008-10-17,2008-10-20,2008-10-24,3108.2,2584.0,-0.1686506659803101,-0.1696506659803101
2009-08-17,2009-08-18,2009-08-24,4389.5,4642.8,0.057705889053423,0.056705889053423
2009-11-03,2009-11-04,2009-11-10,4567.3,4881.7,0.06883716856786282,0.06783716856786282
2010-01-21,2010-01-22,2010-01-29,5094.15,4882.05,-0.04163599422867392,-0.042635994228673924
2010-02-05,2010-02-06,2010-02-11,4712.75,4826.85,0.02421091719272206,0.023210917192722058
2010-05-19,2010-05-20,2010-05-26,4924.3,4917.4,-0.0014012143858010973,-0.0024012143858010973
2010-06-01,2010-06-02,2010-06-08,4970.75,4987.1,0.003289242066086606,0.002289242066086606
2010-10-15,2010-10-18,2010-10-22,6112.75,6066.05,-0.007639769334587543,-0.008639769334587544
2010-11-12,2010-11-15,2010-11-22,6079.9,6010.0,-0.011496899620059509,-0.01249689962005951
2010-12-09,2010-12-10,2010-12-16,5761.0,5948.75,0.032589828154834244,0.03158982815483424
2011-01-07,2011-01-10,2011-01-14,5901.3,5654.55,-0.04181282090386862,-0.04281282090386862
2011-02-04,2011-02-07,2011-02-11,5430.15,5310.0,-0.02212646059501111,-0.02312646059501111
2011-02-24,2011-02-25,2011-03-04,5321.05,5538.75,0.04091297770176938,0.03991297770176938
2011-08-05,2011-08-08,2011-08-12,5083.85,5072.95,-0.002144044375817611,-0.003144044375817611
2011-08-18,2011-08-19,2011-08-25,4859.3,4839.6,-0.004054081863642867,-0.005054081863642867
2011-09-22,2011-09-23,2011-09-29,4873.75,5015.45,0.029074121569633293,0.028074121569633292
2012-02-27,2012-02-28,2012-03-03,5310.5,5359.4,0.009208172488466282,0.008208172488466281
2012-03-22,2012-03-23,2012-03-29,5255.65,5178.85,-0.014612845223711535,-0.015612845223711536
2013-02-21,2013-02-22,2013-02-28,5837.95,5693.05,-0.024820356460743875,-0.025820356460743876
2013-03-19,2013-03-20,2013-03-26,5740.55,5641.6,-0.0172370243269373,-0.0182370243269373
